trial,fast_score,full_net,full_trades,full_pf,full_dd,oos_net,oos_trades,oos_pf,oos_dd,rsi_period,rsi_overbought,rsi_oversold,rsi_target_buy,rsi_target_sell,bars_to_wait,use_trailing,trail_distance_pts,trail_activation_pts,lot_size
718,-inf,0.0,2545,0.0,0.0,0.0,902,0.0,0.0,10,8.4,69.3,97.2,3.4,4,False,71,35,0.1
719,-inf,0.0,2188,0.0,0.0,0.0,738,0.0,0.0,12,18.2,70.6,96.0,13.2,4,False,40,41,0.1
720,-inf,0.0,4040,0.0,0.0,0.0,1523,0.0,0.0,21,9.3,55.0,91.1,4.3,12,True,90,41,0.1
721,-inf,0.0,1059,0.0,0.0,0.0,356,0.0,0.0,14,20.6,76.4,91.3,15.6,4,False,71,55,0.1
722,-inf,0.0,1080,0.0,0.0,0.0,386,0.0,0.0,16,13.0,72.0,87.2,8.0,4,False,71,55,0.1
723,-inf,0.0,5697,0.0,0.0,0.0,2132,0.0,0.0,16,73.1,52.5,73.7,35.3,6,True,55,41,0.1
724,-inf,0.0,2268,0.0,0.0,0.0,817,0.0,0.0,18,18.9,59.5,97.2,13.9,6,False,55,35,0.1
725,-inf,0.0,4867,0.0,0.0,0.0,1842,0.0,0.0,18,74.8,55.4,80.3,61.6,12,True,90,41,0.1
726,-inf,0.0,1382,0.0,0.0,0.0,485,0.0,0.0,21,79.5,46.5,72.4,61.8,12,False,150,90,0.1
727,-inf,0.0,154,0.0,0.0,0.0,62,0.0,0.0,21,15.5,77.8,89.3,14.3,8,False,90,90,0.1
728,-inf,0.0,2187,0.0,0.0,0.0,771,0.0,0.0,16,11.0,57.9,89.3,9.9,8,False,71,70,0.1
729,-inf,0.0,703,0.0,0.0,0.0,259,0.0,0.0,14,7.1,76.4,93.3,2.1,4,False,71,55,0.1
730,-inf,0.0,5146,0.0,0.0,0.0,1856,0.0,0.0,10,62.7,48.0,82.2,47.1,3,False,71,20,0.1
731,-inf,0.0,3463,0.0,0.0,0.0,1253,0.0,0.0,10,66.7,53.6,80.8,41.7,8,False,40,35,0.1
732,-inf,0.0,4986,0.0,0.0,0.0,1760,0.0,0.0,10,75.8,45.6,90.4,54.1,2,False,120,41,0.1
733,-inf,0.0,596,0.0,0.0,0.0,189,0.0,0.0,21,66.5,38.9,81.7,19.5,8,False,71,41,0.1
734,-inf,0.0,2800,0.0,0.0,0.0,1002,0.0,0.0,21,8.2,56.8,87.5,3.2,3,False,55,70,0.1
