trial,net,trades,pf,fast_ema,slow_ema,trend_leg_bars,min_ema_gap_pips,cross_cooldown,pullback_cooldown,use_pullback,pullback_touch,atr_period,atr_sl_mult,atr_tp_mult,max_bars_in_trade,htf_ema_period,use_htf_filter,use_adx_filter,adx_period,adx_min,session_start,session_end,max_spread_pips,lot_size,initial_balance
496,-5183.2400000000125,1380,0.7333451315232373,8,38,40,0.6,7,4,True,0,14,2.71,5.33,96,100,False,False,14,18.1,7,22,8.0,0.1,10000.0
497,-2028.6099999999788,548,0.7415124872579002,8,46,72,1.4,7,3,True,1,20,3.19,6.59,64,200,False,True,14,21.2,7,22,6.0,0.1,10000.0
498,-3040.2700000000104,702,0.7130006702349598,10,50,56,0.6,10,3,True,0,14,2.64,6.55,96,100,True,True,14,16.7,8,22,6.0,0.1,10000.0
499,-4056.370000000008,1116,0.7463651171297353,9,46,32,0.7,7,5,True,0,14,2.63,7.13,96,100,False,False,14,21.6,8,22,6.0,0.1,10000.0
500,-2156.9500000000053,797,0.7767971248899224,8,42,48,2.4,9,3,True,1,20,2.57,4.88,48,100,False,False,14,17.1,8,21,8.0,0.1,10000.0
501,-3443.6000000000186,1040,0.7271442935710613,9,50,72,1.4,9,4,True,1,20,2.33,5.78,64,200,False,False,14,23.6,8,22,6.0,0.1,10000.0
502,-347.16999999999825,111,0.8284512832676134,8,40,72,1.0,6,3,False,0,14,2.89,6.16,96,100,True,True,14,20.1,7,22,8.0,0.1,10000.0
503,-385.46999999999935,63,0.580043142894496,12,40,56,0.5,7,2,False,0,20,2.29,6.72,48,200,True,True,14,23.4,7,21,6.0,0.1,10000.0
504,-3506.0399999999963,936,0.693269234975307,10,42,64,1.2,6,5,True,0,14,2.45,4.84,64,100,True,False,14,19.9,8,21,6.0,0.1,10000.0
505,-1747.5300000000025,314,0.5779718362921085,12,50,40,2.3,10,2,True,1,20,2.07,4.52,96,200,True,False,14,16.9,8,21,8.0,0.1,10000.0
506,-573.3299999999927,173,0.768125730509304,10,38,32,1.4,7,2,False,1,14,2.49,7.24,48,100,False,False,14,17.8,8,22,8.0,0.1,10000.0
507,-1488.4699999999884,344,0.6810676574445473,10,50,40,1.6,8,2,True,1,20,2.19,5.56,96,100,True,True,14,17.6,7,22,6.0,0.1,10000.0
