trial,score,net,trades,pf,daily_ema_period,use_daily_bias,htf_zone_bars,min_break_body_ratio,use_double_trap,trap_lookback,ny_chaos_start,ny_chaos_end,momentum_start,momentum_end,ltf_fast_ema,ltf_slow_ema,entry_mode,atr_period,atr_sl_mult,atr_tp_mult,use_trailing,trail_atr_mult,max_bars_in_trade,extend_hold_in_momentum,use_compression_filter,compress_atr_ratio,compress_lookback,cooldown_bars,max_spread_pips,lot_size,initial_balance
264,2839.076582663525,1109.8199999999852,356,1.7393624462875987,50,True,16,0.59,True,6,13,14,16,3,8,21,1,14,1.64,3.84,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
390,2832.0384535518483,1204.9299999999967,337,1.9192956489231026,100,True,20,0.55,True,6,12,15,15,2,8,21,1,14,1.83,5.42,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
162,2821.241297602958,1148.029999999986,351,1.7866182465997464,100,True,16,0.5,True,6,13,15,16,3,8,21,1,14,2.11,4.44,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
2,2812.796472684085,1523.6099999999897,264,2.736090062784152,50,True,24,0.54,False,6,12,15,16,2,8,21,1,14,2.02,4.18,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
516,2812.033061573329,1633.9100000000035,241,3.579138450853183,100,True,20,0.61,False,6,12,15,15,3,8,21,1,14,2.18,5.04,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
279,2805.3800989879987,1465.270000000006,276,2.318744318744319,50,True,16,0.68,True,6,12,14,15,3,8,21,1,14,2.15,4.91,True,1.2,96,True,True,0.7,48,6,8.0,0.1,10000.0
745,2805.0627398589213,1438.6899999999987,284,2.30389349090975,50,True,24,0.59,True,6,12,14,15,3,8,21,1,14,1.91,5.4,True,1.2,96,True,True,0.7,48,6,8.0,0.1,10000.0
284,2800.759549751483,1633.7900000000063,238,3.9557485300768884,100,True,24,0.52,False,6,13,15,15,3,8,21,1,14,1.8,4.05,True,1.2,96,True,True,0.7,48,6,8.0,0.1,10000.0
81,2792.3184415013798,1521.0299999999952,259,3.1227722495917827,100,True,24,0.56,False,6,13,14,15,3,8,21,1,14,2.07,3.96,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
536,2784.189864204346,1513.9500000000116,263,2.608941931644278,50,True,20,0.65,True,6,12,14,15,2,8,21,1,14,1.67,4.01,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
161,2780.9950575991256,1267.7399999999998,313,1.9509999549907733,50,True,16,0.63,True,6,12,14,16,2,8,21,1,14,2.2,4.29,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
347,2778.3471301217883,1489.699999999979,265,2.6817945765314186,50,True,24,0.55,False,6,12,15,16,3,8,21,1,14,1.95,4.79,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
365,2771.4957928282784,1467.5099999999802,268,2.6473328543846257,50,True,20,0.58,False,6,12,16,16,2,8,21,1,14,1.66,4.85,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
673,2771.405658905451,1262.7799999999934,309,2.076135124079629,100,True,16,0.54,True,6,13,15,15,2,8,21,1,14,2.0,3.64,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
302,2770.8763666973537,1111.079999999989,347,1.7695152610692098,100,True,16,0.52,True,6,12,15,16,3,8,21,1,14,2.04,3.69,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
392,2762.1524229025267,1378.3500000000058,286,2.2744445369060498,50,True,24,0.59,True,6,12,15,15,3,8,21,1,14,1.61,3.58,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
