side,open_time,close_time,profit,exit_reason
SELL,2024-06-12 16:00:00,2024-06-12 17:00:00,-20.35,sl
SELL,2024-06-18 00:30:00,2024-06-18 02:30:00,3.18,trail
SELL,2024-06-18 15:00:00,2024-06-18 15:30:00,24.26,trail
SELL,2024-06-18 16:00:00,2024-06-18 16:30:00,16.18,trail
BUY,2024-06-27 20:15:00,2024-06-28 00:00:00,3.94,trail
BUY,2024-07-01 15:00:00,2024-07-01 15:30:00,6.61,trail
BUY,2024-07-01 16:00:00,2024-07-01 16:30:00,-12.44,sl
SELL,2024-07-05 20:15:00,2024-07-05 21:15:00,8.61,trail
SELL,2024-07-05 21:15:00,2024-07-08 00:00:00,7.78,trail
SELL,2024-07-08 00:00:00,2024-07-08 00:15:00,0.8,trail
BUY,2024-07-10 16:15:00,2024-07-10 16:30:00,3.96,trail
BUY,2024-07-10 17:15:00,2024-07-10 18:15:00,0.44,trail
BUY,2024-07-10 18:15:00,2024-07-10 21:00:00,0.32,trail
SELL,2024-07-11 15:00:00,2024-07-11 15:15:00,-6.96,sl
SELL,2024-07-11 16:00:00,2024-07-11 16:15:00,2.75,trail
SELL,2024-07-17 16:15:00,2024-07-17 16:30:00,-0.18,trail
SELL,2024-07-17 17:15:00,2024-07-17 21:00:00,7.87,trail
SELL,2024-07-24 15:00:00,2024-07-24 15:45:00,12.58,trail
SELL,2024-07-24 16:00:00,2024-07-24 16:30:00,3.89,trail
SELL,2024-07-31 15:00:00,2024-07-31 15:15:00,13.09,trail
SELL,2024-07-31 16:00:00,2024-07-31 17:00:00,7.02,trail
SELL,2024-08-01 16:15:00,2024-08-01 17:00:00,17.23,trail
SELL,2024-08-01 17:15:00,2024-08-01 17:30:00,1.97,trail
SELL,2024-08-01 18:15:00,2024-08-01 19:15:00,3.81,trail
SELL,2024-08-01 19:15:00,2024-08-01 22:30:00,8.11,trail
SELL,2024-08-02 15:00:00,2024-08-02 15:30:00,59.86,trail
SELL,2024-08-02 16:00:00,2024-08-02 16:45:00,3.57,trail
SELL,2024-08-05 15:00:00,2024-08-05 15:15:00,7.67,trail
SELL,2024-08-05 16:00:00,2024-08-05 16:45:00,-49.05,sl
SELL,2024-08-20 16:15:00,2024-08-20 17:45:00,12.5,trail
SELL,2024-08-20 17:45:00,2024-08-20 21:45:00,23.51,tp
SELL,2024-08-20 21:45:00,2024-08-20 23:15:00,12.44,trail
SELL,2024-08-20 23:15:00,2024-08-21 01:00:00,3.49,trail
SELL,2024-08-21 16:15:00,2024-08-21 17:00:00,5.53,trail
SELL,2024-08-21 17:15:00,2024-08-21 17:30:00,-23.71,sl
SELL,2024-08-21 18:15:00,2024-08-21 21:00:00,26.47,trail
SELL,2024-08-27 16:15:00,2024-08-27 16:45:00,8.99,trail
SELL,2024-08-27 17:15:00,2024-08-27 17:30:00,5.67,trail
SELL,2024-08-27 18:15:00,2024-08-27 20:00:00,3.44,trail
SELL,2024-08-27 20:00:00,2024-08-27 23:30:00,19.92,tp
SELL,2024-08-27 23:30:00,2024-08-28 04:15:00,-10.38,sl
SELL,2024-09-04 20:15:00,2024-09-04 22:45:00,7.59,trail
SELL,2024-09-04 22:45:00,2024-09-05 00:00:00,7.13,trail
SELL,2024-09-05 00:00:00,2024-09-05 02:30:00,3.71,trail
SELL,2024-09-06 00:15:00,2024-09-06 03:30:00,0.72,trail
SELL,2024-09-24 16:15:00,2024-09-24 17:00:00,8.17,trail
SELL,2024-09-24 17:15:00,2024-09-24 17:30:00,-0.26,trail
SELL,2024-09-24 18:15:00,2024-09-24 22:30:00,24.5,tp
SELL,2024-09-24 22:30:00,2024-09-25 01:45:00,7.84,trail
SELL,2024-09-25 01:45:00,2024-09-25 03:00:00,8.85,trail
SELL,2024-09-27 15:00:00,2024-09-27 15:30:00,15.97,trail
SELL,2024-09-27 16:00:00,2024-09-27 17:15:00,-24.87,sl
SELL,2024-09-27 20:15:00,2024-09-30 01:00:00,10.88,trail
BUY,2024-10-04 15:00:00,2024-10-04 15:30:00,76.51,trail
BUY,2024-10-04 16:00:00,2024-10-04 22:30:00,-16.46,sl
BUY,2024-10-09 16:15:00,2024-10-09 17:30:00,9.16,trail
BUY,2024-10-09 17:30:00,2024-10-09 17:45:00,1.25,trail
BUY,2024-10-09 18:30:00,2024-10-09 21:45:00,19.59,tp
BUY,2024-10-09 21:45:00,2024-10-10 00:00:00,-10.54,sl
BUY,2024-10-14 15:00:00,2024-10-14 15:15:00,4.04,trail
BUY,2024-10-14 16:00:00,2024-10-14 19:30:00,1.8399999999999999,trail
BUY,2024-10-28 00:15:00,2024-10-28 01:00:00,6.82,trail
BUY,2024-10-28 01:15:00,2024-10-28 03:30:00,3.45,trail
BUY,2024-11-06 15:00:00,2024-11-06 17:00:00,-27.78,sl
BUY,2024-11-11 15:00:00,2024-11-11 15:30:00,3.36,trail
BUY,2024-11-11 16:00:00,2024-11-11 16:45:00,3.62,trail
BUY,2024-11-11 20:15:00,2024-11-11 21:45:00,3.4,trail
BUY,2024-11-11 21:45:00,2024-11-12 00:00:00,-8.77,sl
BUY,2024-11-12 00:00:00,2024-11-12 00:15:00,-11.22,sl
BUY,2024-11-12 01:00:00,2024-11-12 03:15:00,3.51,trail
BUY,2024-11-13 16:15:00,2024-11-13 16:30:00,14.91,trail
BUY,2024-11-13 17:15:00,2024-11-13 21:15:00,11.61,trail
BUY,2024-11-13 21:15:00,2024-11-14 00:00:00,-13.71,sl
BUY,2024-11-14 00:00:00,2024-11-14 01:00:00,1.78,trail
BUY,2024-11-14 01:00:00,2024-11-14 03:00:00,4.47,trail
BUY,2024-11-22 15:00:00,2024-11-22 15:30:00,23.68,trail
BUY,2024-11-22 16:00:00,2024-11-22 16:30:00,6.58,trail
BUY,2024-12-10 16:15:00,2024-12-10 16:30:00,2.45,trail
BUY,2024-12-10 17:15:00,2024-12-10 21:45:00,1.45,trail
BUY,2024-12-12 20:15:00,2024-12-12 23:15:00,25.57,tp
BUY,2024-12-12 23:15:00,2024-12-13 00:00:00,-14.8,sl
BUY,2024-12-18 20:15:00,2024-12-18 21:00:00,49.95,trail
BUY,2024-12-18 21:15:00,2024-12-18 21:30:00,9.0,trail
BUY,2024-12-18 22:15:00,2024-12-18 22:45:00,2.89,trail
BUY,2024-12-18 23:15:00,2024-12-19 02:00:00,11.35,trail
BUY,2024-12-24 16:15:00,2024-12-24 17:15:00,-0.31,trail
BUY,2024-12-24 17:15:00,2024-12-24 17:45:00,3.75,trail
BUY,2024-12-24 18:15:00,2024-12-24 21:15:00,-11.29,sl
BUY,2024-12-27 16:15:00,2024-12-27 16:30:00,1.54,trail
BUY,2024-12-27 17:15:00,2024-12-27 20:30:00,6.72,trail
BUY,2024-12-30 15:00:00,2024-12-30 15:45:00,21.87,trail
BUY,2024-12-30 16:00:00,2024-12-30 20:30:00,-18.63,sl
BUY,2024-12-31 16:15:00,2024-12-31 17:30:00,2.09,trail
BUY,2024-12-31 17:30:00,2024-12-31 18:30:00,6.96,trail
BUY,2024-12-31 18:30:00,2024-12-31 21:15:00,10.73,trail
BUY,2025-01-02 15:00:00,2025-01-02 15:30:00,0.22,trail
BUY,2025-01-02 16:00:00,2025-01-02 17:15:00,6.2,trail
BUY,2025-01-02 17:15:00,2025-01-02 17:45:00,0.91,trail
BUY,2025-01-02 18:15:00,2025-01-02 18:30:00,1.22,trail
BUY,2025-01-02 19:15:00,2025-01-02 22:15:00,5.0,trail
BUY,2025-01-10 15:00:00,2025-01-10 15:30:00,48.99,trail
